Time,Channel A
(s),(mV)
,
0.36250002,48.89676
0.36300002,30.86642
0.36350002,30.86642
0.36400002,43.48888
0.36450002,45.28947
0.36500002,48.89676
0.36550002,27.26524
0.36600002,45.28947
0.36650002,48.89676
0.36700002,56.11133
0.36750002,38.08099
0.36800002,30.86642
0.36850002,47.09616
0.36900002,48.89676
0.36950002,45.28947
0.37000002,29.06583
0.37050002,36.2804
0.37100002,45.28947
0.37150002,50.70345
0.37200002,36.2804
0.37250002,27.26524
0.37300002,39.88159
0.37350002,43.48888
0.37400002,47.09616
0.37450002,25.45854
0.37500002,27.26524
0.37550002,41.68828
0.37600002,43.48888
0.37650002,45.28947
0.37700002,25.45854
0.37750002,30.86642
0.37800002,41.68828
0.37850002,50.70345
0.37900002,29.06583
0.37950002,29.06583
0.38000002,45.28947
0.38050002,50.70345
0.38100002,56.11133
0.38150002,29.06583
0.38200002,36.2804
0.38250002,50.70345
0.38300002,57.91192
0.38350002,47.09616
0.38400002,29.06583
0.38450002,45.28947
0.38500002,48.89676
0.38550002,56.11133
0.38600002,29.06583
0.38650002,36.2804
0.38700002,43.48888
0.38750002,45.28947
0.38800002,43.48888
0.38850002,25.45854
0.38900002,38.08099
0.38950002,41.68828
0.39000002,47.09616
0.39050002,25.45854
0.39100002,27.26524
0.39150002,41.68828
0.39200002,43.48888
0.39250002,47.09616
0.39300002,27.26524
0.39350002,30.86642
0.39400002,43.48888
0.39450002,50.70345
0.39500002,38.08099
0.39550002,27.26524
0.39600002,45.28947
0.39650002,47.09616
0.39700002,54.30463
0.39750002,29.06583
0.39800002,30.86642
0.39850002,48.89676
0.39900002,56.11133
0.39950002,57.91192
0.40000002,27.26524
0.40050002,38.08099
0.40100002,50.70345
0.40150002,57.91192
0.40200002,47.09616
0.40250002,29.06583
0.40300002,41.68828
0.40350002,50.70345
0.40400002,54.30463
0.40450002,29.06583
0.40500002,30.86642
0.40550002,45.28947
0.40600002,45.28947
0.40650002,41.68828
0.40700002,27.26524
0.40750002,36.2804
0.40800002,41.68828
0.40850002,45.28947
0.40900002,29.06583
0.40950002,27.26524
0.41000002,39.88159
0.41050002,41.68828
0.41100002,50.70345
0.41150002,30.86642
0.41200002,38.08099
0.41250002,45.28947
0.41300002,50.70345
0.41350002,41.68828
0.41400002,30.86642
0.41450002,38.08099
0.41500002,52.50404
0.41550002,56.11133
0.41600002,29.06583
0.41650002,30.86642
0.41700002,50.70345
0.41750002,57.91192
0.41800002,50.70345
0.41850002,27.26524
0.41900002,39.88159
0.41950002,52.50404
0.42000002,57.91192
0.42050002,43.48888
0.42100002,27.26524
0.42150002,41.68828
0.42200002,45.28947
0.42250002,50.70345
0.42300002,30.86642
0.42350002,30.86642
0.42400002,39.88159
0.42450002,45.28947
0.42500002,54.30463
0.42550002,30.86642
0.42600002,32.67311
0.42650002,48.89676
0.42700002,50.70345
0.42750002,57.91192
0.42800002,29.06583
0.42850002,38.08099
0.42900002,54.30463
0.42950002,61.51921
0.43000002,57.91192
0.43050002,27.26524
0.43100002,45.28947
0.43150002,56.11133
0.43200002,63.31981
0.43250002,34.47371
0.43300002,29.06583
0.43350002,45.28947
0.43400002,57.91192
0.43450002,63.31981
0.43500002,29.06583
0.43550002,30.86642
0.43600002,52.50404
0.43650002,54.30463
0.43700002,45.28947
0.43750002,29.06583
0.43800002,45.28947
0.43850002,48.89676
0.43900002,54.30463
0.43950002,30.86642
0.44000002,34.47371
0.44050002,45.28947
0.44100002,50.70345
0.44150002,52.50404
0.44200002,29.06583
0.44250002,39.88159
0.44300002,52.50404
0.44350002,57.91192
0.44400002,39.88159
0.44450002,27.26524
0.44500002,38.08099
0.44550002,56.11133
0.44600002,63.31981
0.44650002,41.68828
0.44700002,27.26524
0.44750002,39.88159
