Time,Channel A,Channel B
(s),(mV),(mV)

11.27600054,265.80090000,107.62050000
11.27650054,247.77980000,102.24920000
11.27700054,279.30540000,102.24920000
11.27750054,283.80690000,102.24920000
11.27800054,270.30240000,102.24920000
11.27850054,288.32360000,100.46080000
11.27900054,234.26010000,102.24920000
11.27950054,265.80090000,102.24920000
11.28000054,238.76160000,98.66634000
11.28050054,283.80690000,100.46080000
11.28100054,247.77980000,100.46080000
11.28150054,283.80690000,100.46080000
11.28200054,261.28420000,102.24920000
11.28250054,306.34480000,104.03760000
11.28300054,279.30540000,104.03760000
11.28350054,274.80390000,104.03760000
11.28400054,292.82510000,104.03760000
11.28450054,256.78270000,107.62050000
11.28500054,297.32650000,105.82600000
11.28550054,297.32650000,104.03760000
11.28600054,306.34480000,107.62050000
11.28650054,252.28120000,104.03760000
11.28700054,270.30240000,104.03760000
11.28750054,270.30240000,104.03760000
11.28800054,274.80390000,102.24920000
11.28850054,292.82510000,100.46080000
11.28900054,279.30540000,100.46080000
11.28950054,252.28120000,100.46080000
11.29000054,279.30540000,100.46080000
11.29050054,270.30240000,102.24920000
11.29100054,270.30240000,100.46080000
11.29150054,256.78270000,102.24920000
11.29200054,265.80090000,102.24920000
11.29250054,256.78270000,104.03760000
11.29300054,274.80390000,104.03760000
11.29350054,297.32650000,105.82600000
11.29400054,265.80090000,107.62050000
11.29450054,283.80690000,104.03760000
11.29500054,265.80090000,105.82600000
11.29550054,247.77980000,107.62050000
11.29600054,279.30540000,104.03760000
11.29650054,274.80390000,104.03760000
11.29700054,270.30240000,104.03760000
11.29750054,288.32360000,104.03760000
11.29800054,301.82800000,102.24920000
11.29850054,261.28420000,102.24920000
11.29900054,279.30540000,100.46080000
11.29950054,270.30240000,100.46080000
11.30000054,265.80090000,100.46080000
11.30050054,279.30540000,100.46080000
11.30100054,274.80390000,100.46080000
11.30150054,292.82510000,102.24920000
11.30200054,243.27830000,104.03760000
11.30250054,252.28120000,102.24920000
11.30300054,256.78270000,104.03760000
11.30350054,292.82510000,105.82600000
11.30400054,270.30240000,107.62050000
11.30450054,292.82510000,105.82600000
11.30500054,288.32360000,105.82600000
11.30550054,292.82510000,107.62050000
11.30600054,247.77980000,104.03760000
11.30650054,288.32360000,105.82600000
11.30700054,247.77980000,102.24920000
11.30750054,288.32360000,102.24920000
11.30800054,292.82510000,102.24920000
11.30850054,274.80390000,100.46080000
11.30900054,292.82510000,100.46080000
11.30950054,234.26010000,98.66634000
11.31000054,279.30540000,102.24920000
11.31050054,256.78270000,98.66634000
11.31100054,234.26010000,102.24920000
11.31150054,256.78270000,98.66634000
11.31200054,288.32360000,102.24920000
11.31250054,288.32360000,104.03760000
11.31300054,274.80390000,105.82600000
11.31350054,243.27830000,107.62050000
11.31400054,270.30240000,105.82600000
11.31450054,301.82800000,107.62050000
11.31500054,283.80690000,107.62050000
11.31550054,288.32360000,105.82600000
11.31600054,265.80090000,102.24920000
11.31650054,265.80090000,102.24920000
11.31700054,256.78270000,104.03760000
11.31750054,274.80390000,104.03760000
11.31800054,261.28420000,102.24920000
11.31850054,252.28120000,100.46080000
11.31900054,247.77980000,102.24920000
11.31950054,238.76160000,98.66634000
11.32000054,274.80390000,100.46080000
11.32050054,270.30240000,100.46080000
